分类,公司,上班时间(原文),公司_规范,下班时间(原文),公司_集团,公司评分,评分等级,部门,部门_规范,岗位,岗位_规范,base地,城市,上班时间(标准),下班时间(标准),工作时长_小时,一周工作天数,工作天数(数字),午饭时间,晚饭时间,周三是否特殊,周五是否特殊,新人是否日报/周报,行业,行业细分,补齐标记,备注,35岁比例,福利,外资,来源
互联网,同花顺,9:00-10:00,同花顺,20:30-21:30,同花顺,91,舒适,ifind,ifind,产品,产品经理,杭州,杭州,09:00,20:30,11.5,5.5,5.5,11:30,17:30,否,05:30:00,是,,未填写,,项目很坑，别来,,,否,总表
互联网,同花顺,周一9:00，前一天8点半后走，第二天9:30，前一天9:30后走，第二天可以10点,同花顺,如果每天时长不够，会被领导约谈，据说是重要的考核指标,同花顺,91,舒适,手炒,手炒,产品,产品经理,杭州,杭州,09:00,,,大小周,5,11:00,05:30,否，和平时一样,周五五点半一般会走,是,,未填写,工作天数,部门差异比较大，好的部门比较少，业务很难成长，比较卷,,,否,总表
互联网,途虎养车,9:00-10:00,途虎养车,一般8:30-10:00,途虎养车,64.6,一般,B端项目组、C端项目组,项目管理,客户端,客户端开发,上海,上海,09:00,20:30,11.5,5,5,12:00,18:00,否,否,需要，每周五所有人都要写周报开周会,,未填写,,比较卷的，公司强制吃晚餐必须8点后打卡，点夜宵必须9点后打卡，好处是人开发人数充裕实际工作量不重，氛围也还行,,,否,总表
互联网,途游游戏,9：30-10:00,途游游戏,标称六点半，但是基本都九十点走,途游游戏,87,舒适,国内棋牌（途游斗地主）,国内棋牌（途游斗地主）,数据运营,运营,北京,北京,09:30,,,大小周,,12:00,06:30,否,六点半准时走,全员日报+周报,,未填写,,非常卷，很累很坑，而且开的很少，已经跑路,,,否,总表
互联网,完美世界,10,完美世界,9～10,完美世界,76.8,良好,七项,七项,游戏后端,后端开发,北京,北京,10:00,21:00,11,5/6 不定，有活的话需要加班,5,12:00,18:00,未填写,没活的话可以早点走，6点左右,需要写周报,,未填写,,这个部门相对比较卷，其他项会好很多；缺少新人培训，效率不是很高,,,否,总表
互联网,完美世界,十点,完美世界,七点到十点不等,完美世界,76.8,良好,游戏国内发行中心,游戏,美术,美术,北京,北京,10:00,19:00,9,5,5,12:00-14:00,06:00-07:00,否,否,否,,未填写,上班时间;下班时间,食堂和厕所不错，其他我不好说，看你leader怎么样了,,,否,总表
互联网,完美世界,十点,完美世界,七点到十点不等,完美世界,76.8,良好,游戏国内发行中心,游戏,市场,市场,北京,北京,10:00,19:00,9,5,5,12:00-14:00,06:00-07:00,否,否,否,,未填写,上班时间;下班时间,发行这边情况都差不多，项目中心之间差距会很大，主要还是看leader,,,否,总表
互联网,完美世界,10点,完美世界,理论7点以后，通常9点以后，关键节点会通宵,完美世界,76.8,良好,游戏业务某项目中心,未披露,客户端,客户端开发,北京,北京,10:00,19:00,9,根据情况大小周,5,12:00,未填写,否,可以准点下班,周报,,未填写,工作天数,没有加班费,,,否,总表
互联网,完美世界,10点,完美世界,19点,完美世界,76.8,良好,,未填写,洪恩-数据部,洪恩-数据部,北京,北京,10:00,19:00,9,5,5,12:00,18:00,每天都一样,没事可以开完周会就走（大概6点多）,现在不写了,,未填写,,高手多，但都是单打独斗；对应届生不太具有培养体系，适合有工作经验的人,,,否,总表
互联网,网易,10:00:00,网易,8:00-9:30,网易,82.3,良好,传媒-新闻客户端后台,传媒-新闻客户端后台,后端,后端开发,北京,北京,10:00,20:00,10,5,5,14:00,18:30,否,未填写,每日站会，不写日报周报,,未填写,,养老，组内氛围对新人不友好，老人居多,,,否,总表
互联网,网易,10,网易,19，我一般19.30-20.走,网易,82.3,良好,黑键工作室,黑键工作室,赛事运营,运营,广州,广州,10:00,19:00,9,5,5,12:00,18:00,未填写,未填写,没有，但每个人都要写月报,,未填写,,氛围很好，不卷，组长们都很nice,,,否,总表
互联网,网易,09:30:00,网易,18:00，大部分人 8:30 以后，周一9点之后,网易,82.3,良好,互联网-严选,互联网-严选,前端,前端开发,杭州,杭州,09:30,18:00,8.5,5,5,13:30,18:00,否,否,看组,,未填写,,活少可以先溜，活多要加班。周末基本无人到公司。有打卡:可以迟到不扣工资，不能早退。最近在搞效能。,,,否,总表
互联网,网易,10,网易,19,网易,82.3,良好,互娱,游戏,游戏运营,运营,杭州,杭州,10:00,19:00,9,5,5,11:00,18:00,否,否,是,,未填写,,食堂好吃，但是餐标一天只有40，无下午茶，猪场好小气哦,,,否,总表
互联网,网易,九点半,网易,八点左右，更新了话全组留到十二点,网易,82.3,良好,雷火工作室,雷火工作室,游戏客户端开发,客户端开发,杭州,杭州,09:30,,,5,5,11:00,18:00,否,否,是,,未填写,上班时间,网易真的感觉挺良心了，暂时没有361，压力也不是很大,,,否,总表
互联网,网易,9：30-10：00,网易,9：00-10：00,网易,82.3,良好,音乐-数据平台组,数据,数据,数据,杭州,杭州,09:30,21:00,11.5,5,5,14:00,不固定,否,6点可以走,不写日报周报,,未填写,,数据组加班比较多，其他组基本7-8点都可以走,,,否,总表
互联网,网易,,网易,10:00:00,网易,82.3,良好,用户增长,用户增长,运营,运营,北京,北京,09:30,10:00,0.5,5,5,12:00,18:30,否,否,是,,未填写,上班时间,,,,否,总表
