公司_规范,集团,分类,记录数,原始名称数,城市数,城市,平均上班,平均下班,平均工时,评分,等级,备注数
友塔游戏,友塔游戏,互联网,4,1,1,上海,10:45,20:00,9.2,81.6,良好,1
中铁第四勘察设计院,中铁第四勘察设计院,其他,4,1,2,武汉、合肥,08:04,19:52,11.8,50.3,偏卷,2
度小满,度小满,互联网,4,1,1,北京,10:00,19:49,9.8,83.3,良好,0
北京银行,北京银行,金融,4,1,1,北京,08:07,15:22,13.2,57.3,一般,3
博智林机器人,博智林机器人,互联网,4,1,1,佛山,08:19,18:34,10.2,77.1,良好,3
甲骨文,甲骨文,互联网,4,3,3,杭州、香港、石家庄,09:07,17:52,8.8,94.3,舒适,1
石墨文档,石墨文档,互联网,4,1,2,北京、武汉,10:30,19:00,8.5,92.4,舒适,0
一点资讯,一点资讯,互联网,4,1,1,北京,09:37,19:22,9.8,82.8,良好,0
上汽大众,上汽大众,其他,4,1,1,上海,09:22,17:30,8.1,98.9,舒适,1
黑湖智造,黑湖智造,互联网,4,1,1,上海,09:22,19:37,10.2,78.2,良好,0
药明康德,药明康德,其他,4,3,3,天津、苏州、无锡,08:41,17:07,8.4,95.2,舒适,3
freewheel,freewheel,互联网,4,1,1,北京,09:45,18:07,8.4,97.1,舒适,3
金山办公,金山,互联网,4,1,3,武汉、北京、珠海,09:11,19:45,10.6,72.1,良好,0
老虎证券,老虎证券,互联网,4,1,2,北京、杭州,09:37,17:00,9.8,87.4,舒适,3
中国烟草,中国烟草,其他,4,3,3,郑州、上海、江苏淮安,08:23,16:48,8.4,97.4,舒适,0
作业帮,作业帮,互联网,4,1,1,北京,10:15,20:00,9.8,77.0,良好,2
山东捷瑞数字,山东捷瑞数字,互联网,4,1,1,烟台,08:30,17:45,9.2,86.5,舒适,2
掌阅科技,掌阅科技,互联网,4,1,1,北京,09:45,19:30,9.8,82.2,良好,1
中国银联,中国银联,其他,4,1,1,上海,08:52,14:37,11.5,64.8,一般,3
MetaApp,MetaApp,互联网,4,1,1,北京,10:00,21:15,11.2,54.9,偏卷,3
西山居,西山居,互联网,4,1,3,成都、广州、珠海,09:04,18:00,8.9,93.0,舒适,3
锐捷网络,锐捷网络,互联网,4,1,3,福州、上海、深圳,09:12,16:00,6.8,100.0,舒适,2
脉脉,脉脉,互联网,4,1,1,北京,10:00,19:30,9.5,83.8,良好,0
中建八局,中建八局,其他,4,1,3,上海、省站、河北雄安,07:52,19:52,12.0,48.9,偏卷,2
招联金融,招联金融,互联网,4,1,1,深圳,08:27,15:15,6.8,100.0,舒适,1
VMware,VMware,互联网,4,1,1,北京,09:45,17:45,8.0,100.0,舒适,3
良品铺子,良品铺子,其他,4,2,1,武汉,09:00,18:15,9.2,86.7,舒适,4
Arm China,Arm China,互联网,4,1,2,上海、成都,09:15,18:52,9.6,82.2,良好,3
蘑菇街,蘑菇街,互联网,4,1,1,杭州,09:30,18:30,9.0,94.4,舒适,4
虎牙,虎牙,互联网,4,1,1,广州,10:07,20:07,10.0,71.8,良好,3
雪球,雪球,互联网,4,1,1,北京,09:24,21:10,11.8,51.7,偏卷,0
雷霆游戏,雷霆游戏,互联网,4,1,1,深圳,09:00,13:30,9.0,89.4,舒适,2
中移物联网,中移物联网,互联网,4,2,2,重庆、成都,08:30,17:37,9.1,90.2,舒适,2
大汉软件,大汉软件,互联网,4,1,1,南京,09:00,18:00,9.0,92.4,舒适,4
金讯通,金讯通,互联网,4,1,1,西安,08:45,19:30,10.7,65.2,一般,2
Momenta,Momenta,互联网,4,1,2,苏州、北京,10:15,14:00,3.8,100.0,舒适,3
上海银行,上海银行,金融,4,1,2,上海、苏州,08:30,17:15,8.8,92.6,舒适,0
迅雷,迅雷,互联网,4,1,1,深圳,09:52,18:22,8.5,84.7,良好,1
IGG,IGG,互联网,4,1,2,福州、上海,09:15,16:45,10.0,81.2,良好,1
汉得信息,汉得信息,互联网,4,1,1,上海,09:07,18:35,9.4,84.2,良好,1
欢聚,欢聚,互联网,4,2,1,广州,09:30,20:00,10.5,68.2,一般,0
中信银行,中信银行,金融,4,1,1,北京,08:30,18:07,9.6,83.5,良好,3
科沃斯,科沃斯,互联网,4,3,1,苏州,08:19,17:45,9.4,87.9,舒适,2
焦点科技,焦点科技,互联网,4,2,1,南京,09:00,18:00,9.0,92.4,舒适,0
Intel,Intel,互联网,4,1,2,北京、上海,09:00,17:00,8.0,98.7,舒适,1
zte,zte,互联网,4,1,3,深圳、南京、西安,08:45,20:52,12.1,43.1,偏卷,1
邮储银行,邮储银行,金融,4,1,2,北京、二线,08:20,15:45,9.9,77.9,良好,1
纳思达,纳思达,其他,4,1,1,珠海,08:30,18:00,9.5,87.9,舒适,4
群之脉信息科技,群之脉信息科技,互联网,4,1,2,青岛、上海,09:00,18:00,9.0,92.4,舒适,0
银行,银行,金融,4,1,4,广东肇庆、郑州、北京,08:10,18:17,10.1,75.7,良好,0
粉笔,粉笔,互联网,4,1,3,北京、合肥、济南,09:30,19:45,10.2,72.0,良好,2
光云科技,光云科技,互联网,4,1,1,杭州,09:19,20:30,11.2,59.3,一般,2
孩子王,孩子王,互联网,4,1,1,南京,09:00,18:15,9.2,89.1,舒适,2
保利发展,保利发展,其他,4,4,3,广州、成都、北京,08:30,16:07,10.2,78.2,良好,3
普联技术,普联技术,互联网,4,2,2,杭州、深圳,08:30,17:15,8.8,92.6,舒适,3
美亚柏科,美亚柏科,互联网,4,1,1,厦门,09:02,20:15,11.2,58.5,一般,3
匿名建筑设计院,匿名建筑设计院,其他,3,2,3,南京、合肥、青岛,08:26,17:26,9.0,90.9,舒适,1
南极电商,南极电商,互联网,3,1,1,上海,10:10,18:30,8.3,95.6,舒适,2
匿名咨询公司,匿名咨询公司,其他,3,2,3,上海、湘潭、西安,08:50,17:30,8.7,94.0,舒适,2
古事纪,古事纪,互联网,3,1,1,上海,,,,,数据不足,3
顶点软件,顶点软件,互联网,3,1,2,福州、深圳,09:15,17:31,8.3,97.7,舒适,3
香侬科技,香侬科技,互联网,3,1,1,北京,09:30,20:30,11.0,53.8,偏卷,0
